# omaframe Nerd Font glyph seed list (v1, Phase 0).
# See plan.md §4.3 ("Nerds" palette tab). Requires a Nerd Font in the
# terminal; the app ships a font test page (plan.md §4.7) to verify coverage.
# Format per data line: <glyph><2 spaces><name><2 spaces><U+CODEPOINT>
# Doubts (medium confidence, verify against font test page):
#   cpu U+F4BC, terminal-oct U+F489 (octicons range, as cited in plan.md);
#   snowflake U+F2DC, pointer U+F245, text-cursor U+F246, undo U+F0E2,
#   redo U+F01E (late-added Font Awesome codepoints / aliases).

  desktop  U+F108
  laptop  U+F109
  tablet  U+F10A
  mobile  U+F10B
  keyboard  U+F11C
  hdd  U+F0A0
  cogs  U+F085
  dashboard  U+F0E4
  plug  U+F1E6
  power  U+F011
  cpu  U+F4BC
  terminal  U+F120
  terminal-oct  U+F489
  code  U+F121
  columns  U+F0DB
  folder  U+F07B
  folder-open  U+F07C
  file  U+F15B
  file-o  U+F016
  file-text  U+F15C
  file-text-o  U+F0F6
  save  U+F0C7
  gear  U+F013
  wrench  U+F0AD
  sliders  U+F1DE
  filter  U+F0B0
  check  U+F00C
  check-circle  U+F058
  check-square  U+F14A
  check-square-o  U+F046
  close  U+F00D
  close-circle  U+F057
  info  U+F05A
  warn-triangle  U+F071
  warn-circle  U+F06A
  ban  U+F05E
  bell  U+F0F3
  branch-powerline  U+E0A0
  fork  U+F126
  github  U+F09B
  git  U+F1D3
  git-square  U+F1D2
  cube  U+F1B2
  cubes  U+F1B3
  archive  U+F187
  square  U+F0C8
  square-o  U+F096
  music  U+F001
  play  U+F04B
  pause  U+F04C
  stop  U+F04D
  backward  U+F04A
  forward  U+F04E
  volume  U+F028
  headphones  U+F025
  sun  U+F185
  moon  U+F186
  cloud  U+F0C2
  bolt  U+F0E7
  drop  U+F043
  umbrella  U+F0E9
  snowflake  U+F2DC
  arrow-left  U+F060
  arrow-right  U+F061
  arrow-up  U+F062
  arrow-down  U+F063
  chevron-left  U+F053
  chevron-right  U+F054
  chevron-up  U+F077
  chevron-down  U+F078
  caret-down  U+F0D7
  caret-up  U+F0D8
  pl-right  U+E0B0
  pl-left  U+E0B2
  linux  U+F17C
  apple  U+F179
  windows  U+F17A
  pencil  U+F040
  eraser  U+F12D
  eyedropper  U+F1FB
  brush  U+F1FC
  pointer  U+F245
  text-cursor  U+F246
  crop  U+F125
  move  U+F047
  minus  U+F068
  menu  U+F0C9
  search  U+F002
  eye  U+F06E
  eye-off  U+F070
  plus  U+F067
  trash  U+F014
  undo  U+F0E2
  redo  U+F01E
  clipboard  U+F0EA
  toggle-on  U+F205
  radio-off  U+F10C
  radio-on  U+F192
  circle  U+F111
  toggle-off  U+F204
  database  U+F1C0
  lock  U+F023
  user  U+F007
  contrast  U+F042
